Name,Symbol,Region,Category,Subcategory,High Vol
Invesco DB Commodity Index Tracking Fund,DBC,Commodities,ETF,Commodity Producers,TRUE
iShares MSCI India ETF,INDA,Emerging Markets,ETF,ETF,TRUE
iShares 1-3 Year Treasury Bond,SHY.O,Cash,Cash,Cash,FALSE
iShares MSCI Japan,EWJ,Developed Markets,ETF,ETF,FALSE
Global X Copper Miners,COPX.K,Commodities,ETF,Commodity Producers,TRUE
iShares MSCI Taiwan Capped,EWT,Emerging Markets,ETF,Tech,FALSE
iShares MSCI South Korea Capped,EWY,Emerging Markets,ETF,Tech,FALSE
SPDR Gold Shares,GLD,Commodities,ETF,Precious Metals,FALSE
iShares MSCI Global Metals & Mining Producers,PICK.K,Commodities,ETF,Commodity Producers,FALSE
Hang Seng H-Share,2828.HK,Emerging Markets,ETF,ETF,FALSE
VanEck Vectors Vietnam,VNM,Emerging Markets,ETF,ETF,FALSE
iShares US Aerospace & Defense,ITA,US,ETF,US Defense,FALSE
SPDR S&P 500,SPY,US,ETF,US Broad Market,FALSE
Invesco QQQ Trust,QQQ.O,US,ETF,US Tech,FALSE
iShares MSCI Spain Capped,EWP,Developed Markets,ETF,ETF,FALSE
iShares MSCI Singapore Capped,EWS,Developed Markets,ETF,ETF,FALSE
iShares MSCI Singapore Capped,EWS,Developed Markets,ETF,ETF,FALSE
iShares MSCI Poland Capped,EPOL.K,Emerging Markets,ETF,ETF,FALSE
iShares MSCI Emerging Markets ex China,EMXC.O,Emerging Markets,ETF,ETF,FALSE
iShares MSCI Taiwan Capped,EWT,Emerging Markets,ETF,ETF,FALSE
iShares MSCI Canada,EWC,Developed Markets,ETF,ETF,FALSE
iShares MSCI South Korea Capped,EWY,Emerging Markets,ETF,ETF,FALSE
Utilities Select Sector SPDR,XLU,US,ETF,US Utilities,FALSE
iShares MSCI Italy Capped,EWI,Developed Markets,ETF,ETF,FALSE
iShares MSCI Spain Capped,EWP,Developed Markets,ETF,ETF,FALSE
Vanguard S&P 500 Growth,VOOG.K,US,ETF,US Tech,FALSE
Global X Hang Seng High Dividend Yield,3110.HK,Emerging Markets,ETF,ETF,FALSE
SPDR S&P 500,SPY,US,ETF,US Broad Market,FALSE
iShares MSCI Global Metals & Mining Producers,PICK.K,Commodities,ETF,Commodity Producers,FALSE
Global X FTSE Greece 20,GREK.K,Emerging Markets,ETF,ETF,FALSE
Industrial Select Sector SPDR,XLI,US,ETF,US Industrials,FALSE
Invesco S&P 500 High Quality,SPHQ.K,US,ETF,US Tech,FALSE
